time,x,y,z,vx,vy,vz
1.200000000000000025e-02,-9.030804228120648805e-04,-9.076147159240529521e-04,8.109127686188186829e-03,-1.288975586427860143e-01,-1.295447427667493490e-01,1.157423441377096740e+00
1.300000000000000114e-02,-1.041849802405866434e-03,-1.047080845249276967e-03,9.355194079612305300e-03,-1.387693795938016450e-01,-1.394661293252239254e-01,1.246066393424118512e+00
1.400000000000000029e-02,-1.190481198866649888e-03,-1.196458507823435716e-03,1.068981536076488680e-02,-1.486313964607833826e-01,-1.493776625741587150e-01,1.334621281152581052e+00
1.499999999999999944e-02,-1.348964095738693471e-03,-1.355737134388541616e-03,1.211289706655072247e-02,-1.584828968720435605e-01,-1.592786265651058852e-01,1.423081705785835815e+00
1.600000000000000033e-02,-1.517287267181255395e-03,-1.524905442739822679e-03,1.362433836193378649e-02,-1.683231714425619807e-01,-1.691683083512809382e-01,1.511441295383063821e+00
1.700000000000000122e-02,-1.695438781157235317e-03,-1.703951440930393533e-03,1.522403206858799485e-02,-1.781515139759798638e-01,-1.790459981905708486e-01,1.599693706654208514e+00
1.800000000000000211e-02,-1.883406002821902880e-03,-1.892862430676999635e-03,1.691186469534558881e-02,-1.879672216646674776e-01,-1.889109897466060839e-01,1.687832626757593157e+00
1.899999999999999953e-02,-2.081175598109649260e-03,-2.091625010964776998e-03,1.868771647042474782e-02,-1.977695952877464580e-01,-1.987625802877773240e-01,1.775851775079157591e+00
2.000000000000000042e-02,-2.288733537516599633e-03,-2.300225081848856178e-03,2.055146137541701001e-02,-2.075579394069503036e-01,-2.086000708840792806e-01,1.863744904992263418e+00
2.100000000000000130e-02,-2.506065100076808414e-03,-2.518647848450523107e-03,2.250296718101404969e-02,-2.173315625602086076e-01,-2.184227666016668734e-01,1.951505805597040677e+00
2.199999999999999872e-02,-2.733154877529651167e-03,-2.746877825145534364e-03,2.454209548445231842e-02,-2.270897774528428392e-01,-2.282299766950111330e-01,2.039128303438268119e+00
2.299999999999999961e-02,-2.969986778675915394e-03,-2.984898839942078715e-03,2.666870174865312165e-02,-2.368319011462642065e-01,-2.380210147965443057e-01,2.126606264200801899e+00
2.400000000000000050e-02,-3.216544033919981841e-03,-3.232694039045765685e-03,2.888263534303471200e-02,-2.465572552440662979e-01,-2.477951991036869972e-01,2.213933594381590098e+00
2.500000000000000139e-02,-3.472809199995390353e-03,-3.490245891608917666e-03,3.118373958597204718e-02,-2.562651660754083349e-01,-2.575518525631521061e-01,2.301104242937335620e+00
2.600000000000000228e-02,-3.738764164870977437e-03,-3.757536194661340988e-03,3.357185178887894111e-02,-2.659549648755871187e-01,-2.672903030524234613e-01,2.388112202906891302e+00
2.699999999999999969e-02,-4.014390152834676831e-03,-4.034546078219651208e-03,3.604680330188644172e-02,-2.756259879636991372e-01,-2.770098835583097996e-01,2.474951513007501713e+00
2.800000000000000058e-02,-4.299667729751973332e-03,-4.321256010572128992e-03,3.860841956109047068e-02,-2.852775769172965492e-01,-2.867099323524779919e-01,2.561616259204029689e+00
2.900000000000000147e-02,-4.594576808495918173e-03,-4.617645803736000580e-03,4.125652013734080331e-02,-2.949090787439446748e-01,-2.963897931638715955e-01,2.648100576250331351e+00
2.999999999999999889e-02,-4.899096654545509293e-03,-4.923694619083925778e-03,4.399091878654277921e-02,-3.045198460495909254e-01,-3.060488153479252738e-01,2.734398649201974951e+00
3.099999999999999978e-02,-5.213205891749167833e-03,-5.239380973136413544e-03,4.681142350144230219e-02,-3.141092372036584646e-01,-3.156863540524874612e-01,2.820504714899523258e+00
3.200000000000000067e-02,-5.536882508249949854e-03,-5.564682743516781611e-03,4.971783656486393477e-02,-3.236766165007817220e-01,-3.253017703803677829e-01,2.906413063421634302e+00
3.300000000000000155e-02,-5.870103862569053289e-03,-5.899577175065210191e-03,5.270995460437118835e-02,-3.332213543191031579e-01,-3.348944315484287393e-01,2.992118039507254412e+00
3.400000000000000244e-02,-6.212846689844108219e-03,-6.244040886108354407e-03,5.578756864831740936e-02,-3.427428272750550620e-01,-3.444637110431446603e-01,3.077614043946223621e+00
3.500000000000000333e-02,-6.565087108218661295e-03,-6.598049874880908099e-03,5.895046418325503718e-02,-3.522404183745529993e-01,-3.540089887725540452e-01,3.162895534937626429e+00
3.600000000000000422e-02,-6.926800625379192326e-03,-6.961579526095443976e-03,6.219842121267030177e-02,-3.617135171605307953e-01,-3.635296512145356762e-01,3.247957029415267094e+00
3.699999999999999817e-02,-7.297962145235943783e-03,-7.334604617656785737e-03,6.553121431700997812e-02,-3.711615198567515539e-01,-3.730250915613413931e-01,3.332793104339672130e+00
3.799999999999999906e-02,-7.678545974743774573e-03,-7.717099327517108753e-03,6.894861271496603716e-02,-3.805838295078310951e-01,-3.824947098603228013e-01,3.417398397956056044e+00
3.899999999999999994e-02,-8.068525830859190479e-03,-8.109037240667901769e-03,7.245038032598374866e-02,-3.899798561154155796e-01,-3.919379131507924607e-01,3.501767611017717829e+00
4.000000000000000083e-02,-8.467874847629647261e-03,-8.510391356264865662e-03,7.603627583395812517e-02,-3.993490167704570881e-01,-4.013541155969637120e-01,3.585895507974375729e+00
